id,name,current_price,market_cap,price_change_percentage_24h,total_supply,circulating_supply
worldcoin-wld,Worldcoin,0.640144,1517094006,-3.21701,10000000000.0,2361730765.798543
kaspa,Kaspa,0.056136,1515015932,-3.7695,26961546648.8592,26777148610.50726
kucoin-shares,KuCoin,11.59,1504257355,-4.82714,142175261.7355671,129675261.7355671
polygon-ecosystem-token,POL (ex-MATIC),0.136563,1440703478,-0.99289,10543123498.01622,10543123498.01622
pax-gold,PAX Gold,4189.38,1398114623,0.94319,333757.173,333757.173
syrupusdc,syrupUSDC,1.14,1346106116,0.01693,1182484332.576679,1182484332.576679
usdtb,USDtb,1.0,1338867770,0.00658,1338401392.726182,1338401392.726182
bfusd,BFUSD,0.998738,1318315798,-0.05749,1320000000.0,1320000000.0
hash-2,Provenance Blockchain,0.02531414,1306227453,5.19709,100000000000.0,51600707532.0
binance-bridged-usdc-bnb-smart-chain,Binance Bridged USDC (BNB Smart Chain),0.999801,1288719502,0.00241,1288999879.839804,1288999879.839804
rocket-pool-eth,Rocket Pool ETH,3447.68,1282753582,-1.78523,371898.5353640339,371898.5353640339
ripple-usd,Ripple USD,0.99927,1260548921,-0.03546,1261148083.618341,1261148083.618341
algorand,Algorand,0.142994,1259350680,-2.90638,8805358040.620096,8805288537.187336
gatechain-token,Gate,10.63,1246638321,-1.63997,300000000.0,117344473.53114802
wbnb,Wrapped BNB,891.76,1232095112,-0.87204,1382939.625796094,1382939.625796094
quant-network,Quant,84.56,1230065367,-0.71452,14612493.0,14544176.164081175
arbitrum,Arbitrum,0.217942,1224432395,-0.6072,10000000000.0,5618148833.0
official-trump,Official Trump,6.08,1216890973,-3.39658,1000000000.0,199999973.087224
global-dollar,Global Dollar,0.999718,1213299597,-7e-05,1213662887.927131,1213662887.927131
cosmos,Cosmos Hub,2.49,1193901446,-1.76875,480212493.291945,480212493.291945
vechain,VeChain,0.01367104,1176763905,-1.7665,85985041177.0,85985041177.0
hashnote-usyc,Circle USYC,1.11,1174692272,,1060796325.017588,1060796325.017588
binance-staked-sol,Binance Staked SOL,150.69,1173167558,-2.95287,7790030.256836515,7790030.256836515
flare-networks,Flare,0.01479892,1166979552,-1.49528,104434005923.1769,78506408590.08812
filecoin,Filecoin,1.59,1149365676,-6.05798,1958740428.0,721398745.0
sky,Sky,0.04849035,1110963509,2.36742,23462665147.36596,22908489633.250206
kelp-dao-restaked-eth,Kelp DAO Restaked ETH,3177.17,1068011061,-1.7688,336472.5909269336,336472.5909269336
ignition-fbtc,Function FBTC,90750,1063532458,-0.55216,11731.64860718,11731.64860718
lombard-staked-btc,Lombard Staked BTC,90881,1033061173,-0.32541,11316.62401234,11316.62401234
